model,train_ratio,reduction_train,reduction_test,f_score
LinearSVC,0.5,0.75,0.99,0.019966722129783693
LinearSVC,0.5,0.75,0.999,0.0020387359836901127
LinearSVC,0.5,0.99,0.0,0.59904364635263
LinearSVC,0.5,0.99,0.25,0.5455663510023367
LinearSVC,0.5,0.99,0.5,0.4592361652377241
LinearSVC,0.5,0.99,0.75,0.31129066553263873
LinearSVC,0.5,0.99,0.99,0.018264840182648404
LinearSVC,0.5,0.99,0.999,0.0013311148086522463
LinearSVC,0.5,0.999,0.0,0.1503019458734064
LinearSVC,0.5,0.999,0.25,0.1663768115942029
LinearSVC,0.5,0.999,0.5,0.13526159081242023
LinearSVC,0.5,0.999,0.75,0.11864406779661017
LinearSVC,0.5,0.999,0.99,0.04745762711864407
LinearSVC,0.5,0.999,0.999,0.0
LinearSVC,0.75,0.0,0.0,0.6271974136189129
LinearSVC,0.75,0.0,0.25,0.5767624662245149
LinearSVC,0.75,0.0,0.5,0.48944881889763775
LinearSVC,0.75,0.0,0.75,0.3459694989106753
LinearSVC,0.75,0.0,0.99,0.020935101186322403
LinearSVC,0.75,0.0,0.999,0.0014275517487508922
LinearSVC,0.75,0.25,0.0,0.6217470244099252
LinearSVC,0.75,0.25,0.25,0.5768667642752562
LinearSVC,0.75,0.25,0.5,0.4860632633886627
LinearSVC,0.75,0.25,0.75,0.3402597402597403
LinearSVC,0.75,0.25,0.99,0.01793103448275862
LinearSVC,0.75,0.25,0.999,0.001408450704225352
LinearSVC,0.75,0.5,0.0,0.632209139892237
LinearSVC,0.75,0.5,0.25,0.57080078125
LinearSVC,0.75,0.5,0.5,0.4919254658385094
LinearSVC,0.75,0.5,0.75,0.34648370497427106
LinearSVC,0.75,0.5,0.99,0.02050580997949419
LinearSVC,0.75,0.5,0.999,0.001397624039133473
LinearSVC,0.75,0.75,0.0,0.6271085532843819
LinearSVC,0.75,0.75,0.25,0.5674170902929072
LinearSVC,0.75,0.75,0.5,0.48148148148148145
LinearSVC,0.75,0.75,0.75,0.3382789317507418
LinearSVC,0.75,0.75,0.99,0.020066889632107024
LinearSVC,0.75,0.75,0.999,0.001367053998632946
LinearSVC,0.75,0.99,0.0,0.6122276285170298
LinearSVC,0.75,0.99,0.25,0.5827173081825134
LinearSVC,0.75,0.99,0.5,0.4894039735099337
LinearSVC,0.75,0.99,0.75,0.3463324048282266
LinearSVC,0.75,0.99,0.99,0.0197869101978691
LinearSVC,0.75,0.99,0.999,0.0015576323987538943
LinearSVC,0.75,0.999,0.0,0.25337837837837834
LinearSVC,0.75,0.999,0.25,0.22174840085287847
LinearSVC,0.75,0.999,0.5,0.20892151326933933
LinearSVC,0.75,0.999,0.75,0.15148936170212765
LinearSVC,0.75,0.999,0.99,0.016366612111292964
LinearSVC,0.75,0.999,0.999,0.0
LinearSVC,0.9,0.0,0.0,0.6317927882173692
LinearSVC,0.9,0.0,0.25,0.5844636251541308
LinearSVC,0.9,0.0,0.5,0.5160281469898358
LinearSVC,0.9,0.0,0.75,0.34983498349834985
LinearSVC,0.9,0.0,0.99,0.014234875444839857
LinearSVC,0.9,0.0,0.999,0.0
LinearSVC,0.9,0.25,0.0,0.6342213114754098
LinearSVC,0.9,0.25,0.25,0.5956656346749225
LinearSVC,0.9,0.25,0.5,0.4894991922455573
LinearSVC,0.9,0.25,0.75,0.3497757847533632
LinearSVC,0.9,0.25,0.99,0.02540834845735027
LinearSVC,0.9,0.25,0.999,0.0
LinearSVC,0.9,0.5,0.0,0.6200204290091931
LinearSVC,0.9,0.5,0.25,0.5786551511412708
LinearSVC,0.9,0.5,0.5,0.49921259842519683
LinearSVC,0.9,0.5,0.75,0.34649122807017546
LinearSVC,0.9,0.5,0.99,0.014134275618374558
LinearSVC,0.9,0.5,0.999,0.0
LinearSVC,0.9,0.75,0.0,0.6312563840653729
LinearSVC,0.9,0.75,0.25,0.5692789968652038
LinearSVC,0.9,0.75,0.5,0.4915932746196958
LinearSVC,0.9,0.75,0.75,0.3488888888888889
LinearSVC,0.9,0.75,0.99,0.02154398563734291
LinearSVC,0.9,0.75,0.999,0.0
LinearSVC,0.9,0.99,0.0,0.6129193790686028
LinearSVC,0.9,0.99,0.25,0.5624242424242424
LinearSVC,0.9,0.99,0.5,0.4553990610328638
LinearSVC,0.9,0.99,0.75,0.34973821989528797
LinearSVC,0.9,0.99,0.99,0.023217247097844115
LinearSVC,0.9,0.99,0.999,0.0
LinearSVC,0.9,0.999,0.0,0.3206816421378776
LinearSVC,0.9,0.999,0.25,0.3206831119544592
LinearSVC,0.9,0.999,0.5,0.27421383647798747
LinearSVC,0.9,0.999,0.75,0.20626151012891344
LinearSVC,0.9,0.999,0.99,0.006756756756756756
LinearSVC,0.9,0.999,0.999,0.0
LogisticRegression,0.5,0.0,0.0,0.613823201055516
LogisticRegression,0.5,0.0,0.25,0.5690202785243098
LogisticRegression,0.5,0.0,0.5,0.47882938978829387
LogisticRegression,0.5,0.0,0.75,0.32692307692307687
LogisticRegression,0.5,0.0,0.99,0.018604651162790697
LogisticRegression,0.5,0.0,0.999,0.001356391997287216
LogisticRegression,0.5,0.25,0.0,0.6240372922578029
